pixel_threshold,min_change_ratio,confidence_threshold,iou_threshold,min_consecutive,max_detection_area,max_misses,num_sequences,num_positive_gt,num_negative_gt,tp,fp,fn,tn,tp_pct,fp_pct,fn_pct,tn_pct,precision,recall,f1,fpr,mean_ttd_seconds,median_ttd_seconds
7,0.001,0.01,0.1,4,,0,2933,1467,1466,1247,415,220,1051,85.0,28.31,15.0,71.69,0.7503,0.85,0.7971,0.2831,221.1,111.0
5,0.01,0.01,0.1,4,,0,2933,1467,1466,1248,419,219,1047,85.07,28.58,14.93,71.42,0.7487,0.8507,0.7964,0.2858,221.4,111.0
5,0.005,0.01,0.1,4,,0,2933,1467,1466,1251,425,216,1041,85.28,28.99,14.72,71.01,0.7464,0.8528,0.7961,0.2899,220.0,110.0
5,0.001,0.01,0.1,4,,0,2933,1467,1466,1252,427,215,1039,85.34,29.13,14.66,70.87,0.7457,0.8534,0.7959,0.2913,219.7,110.0
3,0.05,0.01,0.1,4,,0,2933,1467,1466,1249,426,218,1040,85.14,29.06,14.86,70.94,0.7457,0.8514,0.795,0.2906,220.0,110.0
5,0.02,0.01,0.1,4,,0,2933,1467,1466,1241,414,226,1052,84.59,28.24,15.41,71.76,0.7498,0.8459,0.795,0.2824,222.7,111.0
3,0.1,0.01,0.1,4,,0,2933,1467,1466,1240,416,227,1050,84.53,28.38,15.47,71.62,0.7488,0.8453,0.7941,0.2838,224.2,113.0
3,0.02,0.01,0.1,4,,0,2933,1467,1466,1252,436,215,1030,85.34,29.74,14.66,70.26,0.7417,0.8534,0.7937,0.2974,219.0,108.5
7,0.001,0.01,0.1,3,,0,2933,1467,1466,1317,535,150,931,89.78,36.49,10.22,63.51,0.7111,0.8978,0.7936,0.3649,159.4,60.0
7,0.005,0.01,0.1,3,,0,2933,1467,1466,1310,525,157,941,89.3,35.81,10.7,64.19,0.7139,0.893,0.7935,0.3581,163.3,60.0
7,0.005,0.01,0.1,4,,0,2933,1467,1466,1234,410,233,1056,84.12,27.97,15.88,72.03,0.7506,0.8412,0.7933,0.2797,223.6,112.0
3,0.01,0.01,0.1,4,,0,2933,1467,1466,1252,439,215,1027,85.34,29.95,14.66,70.05,0.7404,0.8534,0.7929,0.2995,219.0,108.5
5,0.01,0.01,0.1,3,,0,2933,1467,1466,1318,540,149,926,89.84,36.83,10.16,63.17,0.7094,0.8984,0.7928,0.3683,159.4,60.0
3,0.005,0.01,0.1,4,,0,2933,1467,1466,1252,440,215,1026,85.34,30.01,14.66,69.99,0.74,0.8534,0.7927,0.3001,219.0,108.5
3,0.001,0.01,0.1,4,,0,2933,1467,1466,1252,441,215,1025,85.34,30.08,14.66,69.92,0.7395,0.8534,0.7924,0.3008,219.0,108.5
5,0.005,0.01,0.1,3,,0,2933,1467,1466,1321,548,146,918,90.05,37.38,9.95,62.62,0.7068,0.9005,0.792,0.3738,157.8,60.0
5,0.05,0.01,0.1,4,,0,2933,1467,1466,1222,397,245,1069,83.3,27.08,16.7,72.92,0.7548,0.833,0.792,0.2708,229.5,114.0
5,0.02,0.01,0.1,3,,0,2933,1467,1466,1311,533,156,933,89.37,36.36,10.63,63.64,0.711,0.8937,0.7919,0.3636,160.6,60.0
7,0.01,0.01,0.1,4,,0,2933,1467,1466,1225,403,242,1063,83.5,27.49,16.5,72.51,0.7525,0.835,0.7916,0.2749,226.5,113.0
3,0.1,0.01,0.1,3,,0,2933,1467,1466,1310,534,157,932,89.3,36.43,10.7,63.57,0.7104,0.893,0.7913,0.3643,161.1,60.0
10,0.001,0.01,0.1,3,,0,2933,1467,1466,1292,507,175,959,88.07,34.58,11.93,65.42,0.7182,0.8807,0.7912,0.3458,169.5,61.0
3,0.05,0.01,0.1,3,,0,2933,1467,1466,1319,549,148,917,89.91,37.45,10.09,62.55,0.7061,0.8991,0.791,0.3745,157.9,60.0
10,0.001,0.01,0.1,4,,0,2933,1467,1466,1213,389,254,1077,82.69,26.53,17.31,73.47,0.7572,0.8269,0.7905,0.2653,229.5,113.0
10,0.005,0.01,0.1,2,,0,2933,1467,1466,1370,629,97,837,93.39,42.91,6.61,57.09,0.6853,0.9339,0.7905,0.4291,111.0,37.0
7,0.01,0.01,0.1,3,,0,2933,1467,1466,1299,521,168,945,88.55,35.54,11.45,64.46,0.7137,0.8855,0.7904,0.3554,165.5,61.0
5,0.001,0.01,0.1,5,,0,2933,1467,1466,1176,333,291,1133,80.16,22.71,19.84,77.29,0.7793,0.8016,0.7903,0.2271,273.3,145.0
5,0.001,0.01,0.1,3,,0,2933,1467,1466,1323,558,144,908,90.18,38.06,9.82,61.94,0.7033,0.9018,0.7903,0.3806,156.6,60.0
10,0.001,0.01,0.1,2,,0,2933,1467,1466,1383,650,84,816,94.27,44.34,5.73,55.66,0.6803,0.9427,0.7903,0.4434,109.1,36.0
7,0.01,0.01,0.1,2,,0,2933,1467,1466,1388,658,79,808,94.61,44.88,5.39,55.12,0.6784,0.9461,0.7902,0.4488,105.4,35.5
7,0.005,0.01,0.1,2,,0,2933,1467,1466,1394,668,73,798,95.02,45.57,4.98,54.43,0.676,0.9502,0.79,0.4557,102.8,35.5
3,0.02,0.01,0.1,3,,0,2933,1467,1466,1323,560,144,906,90.18,38.2,9.82,61.8,0.7026,0.9018,0.7899,0.382,156.0,60.0
5,0.005,0.01,0.1,5,,0,2933,1467,1466,1175,333,292,1133,80.1,22.71,19.9,77.29,0.7792,0.801,0.7899,0.2271,273.7,145.0
7,0.02,0.01,0.1,2,,0,2933,1467,1466,1381,649,86,817,94.14,44.27,5.86,55.73,0.6803,0.9414,0.7898,0.4427,108.2,37.0
7,0.02,0.01,0.1,4,,0,2933,1467,1466,1213,392,254,1074,82.69,26.74,17.31,73.26,0.7558,0.8269,0.7897,0.2674,230.6,114.0
3,0.02,0.01,0.1,5,,0,2933,1467,1466,1176,336,291,1130,80.16,22.92,19.84,77.08,0.7778,0.8016,0.7895,0.2292,272.7,145.0
3,0.05,0.01,0.1,5,,0,2933,1467,1466,1174,333,293,1133,80.03,22.71,19.97,77.29,0.779,0.8003,0.7895,0.2271,273.9,145.0
5,0.01,0.01,0.1,5,,0,2933,1467,1466,1172,330,295,1136,79.89,22.51,20.11,77.49,0.7803,0.7989,0.7895,0.2251,275.4,145.0
5,0.05,0.01,0.1,3,,0,2933,1467,1466,1296,520,171,946,88.34,35.47,11.66,64.53,0.7137,0.8834,0.7895,0.3547,169.7,61.5
10,0.01,0.01,0.1,2,,0,2933,1467,1466,1358,617,109,849,92.57,42.09,7.43,57.91,0.6876,0.9257,0.7891,0.4209,117.0,38.0
7,0.001,0.01,0.1,2,,0,2933,1467,1466,1399,681,68,785,95.36,46.45,4.64,53.55,0.6726,0.9536,0.7888,0.4645,100.7,34.0
7,0.02,0.01,0.1,3,,0,2933,1467,1466,1289,514,178,952,87.87,35.06,12.13,64.94,0.7149,0.8787,0.7884,0.3506,170.9,63.0
3,0.01,0.01,0.1,5,,0,2933,1467,1466,1176,341,291,1125,80.16,23.26,19.84,76.74,0.7752,0.8016,0.7882,0.2326,272.7,145.0
5,0.01,0.01,0.1,2,,0,2933,1467,1466,1401,687,66,779,95.5,46.86,4.5,53.14,0.671,0.955,0.7882,0.4686,100.3,34.0
3,0.005,0.01,0.1,3,,0,2933,1467,1466,1323,568,144,898,90.18,38.74,9.82,61.26,0.6996,0.9018,0.788,0.3874,156.0,60.0
3,0.01,0.01,0.1,3,,0,2933,1467,1466,1323,568,144,898,90.18,38.74,9.82,61.26,0.6996,0.9018,0.788,0.3874,156.0,60.0
3,0.005,0.01,0.1,5,,0,2933,1467,1466,1176,342,291,1124,80.16,23.33,19.84,76.67,0.7747,0.8016,0.7879,0.2333,272.7,145.0
5,0.02,0.01,0.1,2,,0,2933,1467,1466,1395,679,72,787,95.09,46.32,4.91,53.68,0.6726,0.9509,0.7879,0.4632,101.3,34.0
7,0.001,0.01,0.1,5,,0,2933,1467,1466,1166,327,301,1139,79.48,22.31,20.52,77.69,0.781,0.7948,0.7878,0.2231,276.4,145.0
3,0.001,0.01,0.1,3,,0,2933,1467,1466,1323,569,144,897,90.18,38.81,9.82,61.19,0.6993,0.9018,0.7877,0.3881,156.0,60.0
5,0.02,0.01,0.1,5,,0,2933,1467,1466,1164,325,303,1141,79.35,22.17,20.65,77.83,0.7817,0.7935,0.7876,0.2217,278.5,145.5
3,0.001,0.01,0.1,5,,0,2933,1467,1466,1176,344,291,1122,80.16,23.47,19.84,76.53,0.7737,0.8016,0.7874,0.2347,272.7,145.0
5,0.05,0.01,0.1,2,,0,2933,1467,1466,1383,663,84,803,94.27,45.23,5.73,54.77,0.676,0.9427,0.7874,0.4523,107.1,36.0
3,0.1,0.01,0.1,2,,0,2933,1467,1466,1395,684,72,782,95.09,46.66,4.91,53.34,0.671,0.9509,0.7868,0.4666,103.4,34.0
10,0.005,0.01,0.1,3,,0,2933,1467,1466,1273,497,194,969,86.78,33.9,13.22,66.1,0.7192,0.8678,0.7865,0.339,172.7,66.0
5,0.005,0.01,0.1,2,,0,2933,1467,1466,1402,697,65,769,95.57,47.54,4.43,52.46,0.6679,0.9557,0.7863,0.4754,98.6,33.0
3,0.1,0.01,0.1,5,,0,2933,1467,1466,1161,327,306,1139,79.14,22.31,20.86,77.69,0.7802,0.7914,0.7858,0.2231,281.6,146.0
10,0.005,0.01,0.1,4,,0,2933,1467,1466,1194,378,273,1088,81.39,25.78,18.61,74.22,0.7595,0.8139,0.7858,0.2578,236.3,115.0
3,0.05,0.01,0.1,2,,0,2933,1467,1466,1403,702,64,764,95.64,47.89,4.36,52.11,0.6665,0.9564,0.7856,0.4789,98.7,33.0
7,0.005,0.01,0.1,5,,0,2933,1467,1466,1158,323,309,1143,78.94,22.03,21.06,77.97,0.7819,0.7894,0.7856,0.2203,278.9,146.0
5,0.1,0.01,0.1,2,,0,2933,1467,1466,1357,634,110,832,92.5,43.25,7.5,56.75,0.6816,0.925,0.7848,0.4325,114.8,38.0
5,0.001,0.01,0.1,2,,0,2933,1467,1466,1405,710,62,756,95.77,48.43,4.23,51.57,0.6643,0.9577,0.7845,0.4843,98.4,33.0
7,0.01,0.01,0.1,5,,0,2933,1467,1466,1149,315,318,1151,78.32,21.49,21.68,78.51,0.7848,0.7832,0.784,0.2149,282.6,147.0
3,0.02,0.01,0.1,2,,0,2933,1467,1466,1405,713,62,753,95.77,48.64,4.23,51.36,0.6634,0.9577,0.7838,0.4864,98.2,33.0
15,0.001,0.01,0.1,2,,0,2933,1467,1466,1332,600,135,866,90.8,40.93,9.2,59.07,0.6894,0.908,0.7838,0.4093,122.3,40.0
7,0.05,0.01,0.1,2,,0,2933,1467,1466,1344,620,123,846,91.62,42.29,8.38,57.71,0.6843,0.9162,0.7834,0.4229,119.4,39.0
3,0.01,0.01,0.1,2,,0,2933,1467,1466,1406,719,61,747,95.84,49.05,4.16,50.95,0.6616,0.9584,0.7829,0.4905,98.3,33.0
5,0.05,0.01,0.1,5,,0,2933,1467,1466,1143,311,324,1155,77.91,21.21,22.09,78.79,0.7861,0.7791,0.7826,0.2121,285.7,148.0
10,0.01,0.01,0.1,3,,0,2933,1467,1466,1256,487,211,979,85.62,33.22,14.38,66.78,0.7206,0.8562,0.7826,0.3322,178.7,71.0
3,0.005,0.01,0.1,2,,0,2933,1467,1466,1406,721,61,745,95.84,49.18,4.16,50.82,0.661,0.9584,0.7824,0.4918,98.3,33.0
3,0.001,0.01,0.1,2,,0,2933,1467,1466,1406,722,61,744,95.84,49.25,4.16,50.75,0.6607,0.9584,0.7822,0.4925,98.3,33.0
10,0.001,0.01,0.1,5,,0,2933,1467,1466,1134,302,333,1164,77.3,20.6,22.7,79.4,0.7897,0.773,0.7813,0.206,290.2,147.0
10,0.01,0.01,0.1,4,,0,2933,1467,1466,1178,373,289,1093,80.3,25.44,19.7,74.56,0.7595,0.803,0.7806,0.2544,246.6,115.0
5,0.1,0.01,0.1,3,,0,2933,1467,1466,1256,496,211,970,85.62,33.83,14.38,66.17,0.7169,0.8562,0.7804,0.3383,181.3,72.5
7,0.02,0.01,0.1,5,,0,2933,1467,1466,1135,307,332,1159,77.37,20.94,22.63,79.06,0.7871,0.7737,0.7803,0.2094,289.7,149.0
10,0.02,0.01,0.1,2,,0,2933,1467,1466,1326,606,141,860,90.39,41.34,9.61,58.66,0.6863,0.9039,0.7802,0.4134,126.1,40.5
7,0.05,0.01,0.1,3,,0,2933,1467,1466,1242,486,225,980,84.66,33.15,15.34,66.85,0.7188,0.8466,0.7775,0.3315,189.6,77.0
15,0.001,0.01,0.1,3,,0,2933,1467,1466,1229,470,238,996,83.78,32.06,16.22,67.94,0.7234,0.8378,0.7764,0.3206,185.6,70.0
5,0.1,0.01,0.1,4,,0,2933,1467,1466,1172,382,295,1084,79.89,26.06,20.11,73.94,0.7542,0.7989,0.7759,0.2606,242.0,115.0
15,0.005,0.01,0.1,2,,0,2933,1467,1466,1295,579,172,887,88.28,39.5,11.72,60.5,0.691,0.8828,0.7752,0.395,132.9,44.0
10,0.005,0.01,0.1,5,,0,2933,1467,1466,1113,296,354,1170,75.87,20.19,24.13,79.81,0.7899,0.7587,0.774,0.2019,298.1,150.0
19,0.001,0.01,0.1,2,,0,2933,1467,1466,1282,564,185,902,87.39,38.47,12.61,61.53,0.6945,0.8739,0.7739,0.3847,140.4,48.5
10,0.02,0.01,0.1,3,,0,2933,1467,1466,1222,474,245,992,83.3,32.33,16.7,67.67,0.7205,0.833,0.7727,0.3233,192.3,77.0
15,0.001,0.01,0.1,4,,0,2933,1467,1466,1145,354,322,1112,78.05,24.15,21.95,75.85,0.7638,0.7805,0.7721,0.2415,254.0,115.0
7,0.05,0.01,0.1,4,,0,2933,1467,1466,1154,372,313,1094,78.66,25.38,21.34,74.62,0.7562,0.7866,0.7711,0.2538,253.7,116.0
15,0.01,0.01,0.1,2,,0,2933,1467,1466,1265,564,202,902,86.23,38.47,13.77,61.53,0.6916,0.8623,0.7676,0.3847,146.7,52.0
10,0.01,0.01,0.1,5,,0,2933,1467,1466,1091,287,376,1179,74.37,19.58,25.63,80.42,0.7917,0.7437,0.767,0.1958,306.5,150.0
10,0.02,0.01,0.1,4,,0,2933,1467,1466,1133,358,334,1108,77.23,24.42,22.77,75.58,0.7599,0.7723,0.7661,0.2442,260.0,116.0
15,0.005,0.01,0.1,3,,0,2933,1467,1466,1188,451,279,1015,80.98,30.76,19.02,69.24,0.7248,0.8098,0.765,0.3076,203.1,81.0
7,0.1,0.01,0.1,2,,0,2933,1467,1466,1270,596,197,870,86.57,40.65,13.43,59.35,0.6806,0.8657,0.7621,0.4065,143.0,52.5
19,0.001,0.01,0.1,3,,0,2933,1467,1466,1170,434,297,1032,79.75,29.6,20.25,70.4,0.7294,0.7975,0.762,0.296,216.4,83.5
5,0.1,0.01,0.1,5,,0,2933,1467,1466,1078,292,389,1174,73.48,19.92,26.52,80.08,0.7869,0.7348,0.76,0.1992,303.2,150.0
19,0.005,0.01,0.1,2,,0,2933,1467,1466,1226,540,241,926,83.57,36.83,16.43,63.17,0.6942,0.8357,0.7584,0.3683,161.8,56.0
10,0.05,0.01,0.1,2,,0,2933,1467,1466,1241,573,226,893,84.59,39.09,15.41,60.91,0.6841,0.8459,0.7565,0.3909,148.9,55.0
7,0.05,0.01,0.1,5,,0,2933,1467,1466,1063,286,404,1180,72.46,19.51,27.54,80.49,0.788,0.7246,0.755,0.1951,311.7,150.0
15,0.001,0.01,0.1,5,,0,2933,1467,1466,1050,271,417,1195,71.57,18.49,28.43,81.51,0.7949,0.7157,0.7532,0.1849,316.3,150.0
15,0.005,0.01,0.1,4,,0,2933,1467,1466,1090,340,377,1126,74.3,23.19,25.7,76.81,0.7622,0.743,0.7525,0.2319,262.6,118.0
15,0.01,0.01,0.1,3,,0,2933,1467,1466,1141,431,326,1035,77.78,29.4,22.22,70.6,0.7258,0.7778,0.7509,0.294,216.4,86.0
15,0.02,0.01,0.1,2,,0,2933,1467,1466,1205,541,262,925,82.14,36.9,17.86,63.1,0.6901,0.8214,0.7501,0.369,168.3,58.0
7,0.1,0.01,0.1,3,,0,2933,1467,1466,1149,455,318,1011,78.32,31.04,21.68,68.96,0.7163,0.7832,0.7483,0.3104,217.5,87.0
25,0.001,0.01,0.1,2,,0,2933,1467,1466,1178,510,289,956,80.3,34.79,19.7,65.21,0.6979,0.803,0.7468,0.3479,173.4,57.5
10,0.02,0.01,0.1,5,,0,2933,1467,1466,1033,271,434,1195,70.42,18.49,29.58,81.51,0.7922,0.7042,0.7456,0.1849,318.0,150.0
7,0.02,0.01,0.1,1,,0,2933,1467,1466,1439,955,28,511,98.09,65.14,1.91,34.86,0.6011,0.9809,0.7454,0.6514,53.6,20.0
10,0.005,0.01,0.1,1,,0,2933,1467,1466,1432,950,35,516,97.61,64.8,2.39,35.2,0.6012,0.9761,0.7441,0.648,58.0,20.0
19,0.001,0.01,0.1,4,,0,2933,1467,1466,1058,319,409,1147,72.12,21.76,27.88,78.24,0.7683,0.7212,0.744,0.2176,278.1,120.0
10,0.001,0.01,0.1,1,,0,2933,1467,1466,1438,961,29,505,98.02,65.55,1.98,34.45,0.5994,0.9802,0.7439,0.6555,52.5,19.0
5,0.1,0.01,0.1,1,,0,2933,1467,1466,1428,947,39,519,97.34,64.6,2.66,35.4,0.6013,0.9734,0.7434,0.646,61.2,20.0
7,0.05,0.01,0.1,1,,0,2933,1467,1466,1421,937,46,529,96.86,63.92,3.14,36.08,0.6026,0.9686,0.743,0.6392,60.2,20.0
5,0.05,0.01,0.1,1,,0,2933,1467,1466,1439,968,28,498,98.09,66.03,1.91,33.97,0.5978,0.9809,0.7429,0.6603,53.4,19.0
10,0.01,0.01,0.1,1,,0,2933,1467,1466,1422,939,45,527,96.93,64.05,3.07,35.95,0.6023,0.9693,0.7429,0.6405,60.9,20.0
15,0.001,0.01,0.1,1,,0,2933,1467,1466,1408,919,59,547,95.98,62.69,4.02,37.31,0.6051,0.9598,0.7422,0.6269,62.8,20.0
7,0.01,0.01,0.1,1,,0,2933,1467,1466,1439,972,28,494,98.09,66.3,1.91,33.7,0.5968,0.9809,0.7421,0.663,51.2,19.0
7,0.005,0.01,0.1,1,,0,2933,1467,1466,1443,981,24,485,98.36,66.92,1.64,33.08,0.5953,0.9836,0.7417,0.6692,50.7,19.0
5,0.02,0.01,0.1,1,,0,2933,1467,1466,1445,988,22,478,98.5,67.39,1.5,32.61,0.5939,0.985,0.741,0.6739,49.0,19.0
10,0.05,0.01,0.1,3,,0,2933,1467,1466,1118,435,349,1031,76.21,29.67,23.79,70.33,0.7199,0.7621,0.7404,0.2967,221.1,87.0
19,0.001,0.01,0.1,1,,0,2933,1467,1466,1375,873,92,593,93.73,59.55,6.27,40.45,0.6117,0.9373,0.7402,0.5955,76.1,22.0
15,0.005,0.01,0.1,1,,0,2933,1467,1466,1386,895,81,571,94.48,61.05,5.52,38.95,0.6076,0.9448,0.7396,0.6105,73.4,21.0
10,0.02,0.01,0.1,1,,0,2933,1467,1466,1402,923,65,543,95.57,62.96,4.43,37.04,0.603,0.9557,0.7395,0.6296,64.3,20.0
7,0.001,0.01,0.1,1,,0,2933,1467,1466,1447,1001,20,465,98.64,68.28,1.36,31.72,0.5911,0.9864,0.7392,0.6828,49.1,17.0
5,0.01,0.01,0.1,1,,0,2933,1467,1466,1448,1005,19,461,98.7,68.55,1.3,31.45,0.5903,0.987,0.7388,0.6855,48.8,17.0
3,0.1,0.01,0.1,1,,0,2933,1467,1466,1444,1002,23,464,98.43,68.35,1.57,31.65,0.5904,0.9843,0.7381,0.6835,51.4,19.0
15,0.01,0.01,0.1,1,,0,2933,1467,1466,1370,880,97,586,93.39,60.03,6.61,39.97,0.6089,0.9339,0.7372,0.6003,81.6,23.0
19,0.005,0.01,0.1,1,,0,2933,1467,1466,1349,845,118,621,91.96,57.64,8.04,42.36,0.6149,0.9196,0.737,0.5764,95.8,23.0
3,0.05,0.01,0.1,1,,0,2933,1467,1466,1448,1015,19,451,98.7,69.24,1.3,30.76,0.5879,0.987,0.7369,0.6924,48.6,17.0
5,0.005,0.01,0.1,1,,0,2933,1467,1466,1448,1015,19,451,98.7,69.24,1.3,30.76,0.5879,0.987,0.7369,0.6924,48.5,17.0
19,0.01,0.01,0.1,2,,0,2933,1467,1466,1160,523,307,943,79.07,35.68,20.93,64.32,0.6892,0.7907,0.7365,0.3568,184.3,58.0
25,0.001,0.01,0.1,1,,0,2933,1467,1466,1327,812,140,654,90.46,55.39,9.54,44.61,0.6204,0.9046,0.736,0.5539,103.0,25.0
5,0.001,0.01,0.1,1,,0,2933,1467,1466,1448,1031,19,435,98.7,70.33,1.3,29.67,0.5841,0.987,0.7339,0.7033,48.5,17.0
7,0.1,0.01,0.1,1,,0,2933,1467,1466,1382,919,85,547,94.21,62.69,5.79,37.31,0.6006,0.9421,0.7335,0.6269,78.3,23.0
3,0.02,0.01,0.1,1,,0,2933,1467,1466,1448,1035,19,431,98.7,70.6,1.3,29.4,0.5832,0.987,0.7332,0.706,48.4,17.0
7,0.1,0.01,0.1,4,,0,2933,1467,1466,1045,339,422,1127,71.23,23.12,28.77,76.88,0.7551,0.7123,0.7331,0.2312,281.1,120.0
3,0.005,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
3,0.001,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
3,0.01,0.01,0.1,1,,0,2933,1467,1466,1448,1037,19,429,98.7,70.74,1.3,29.26,0.5827,0.987,0.7328,0.7074,48.4,17.0
10,0.05,0.01,0.1,1,,0,2933,1467,1466,1367,898,100,568,93.18,61.26,6.82,38.74,0.6035,0.9318,0.7326,0.6126,84.9,23.0
